Episode: 196, Total Reward: 283.0, Max Tile: 128, Steps: 117, Epsilon: 0.822
Episode: 197, Total Reward: 218.7, Max Tile: 64, Steps: 102, Epsilon: 0.821
Episode: 198, Total Reward: 377.4, Max Tile: 128, Steps: 154, Epsilon: 0.820
Episode: 199, Total Reward: 418.1, Max Tile: 128, Steps: 168, Epsilon: 0.819
Episode: 200, Total Reward: 105.0, Max Tile: 32, Steps: 52, Epsilon: 0.819
Episode: 201, Total Reward: 113.3, Max Tile: 32, Steps: 54, Epsilon: 0.818
Episode: 202, Total Reward: 216.2, Max Tile: 64, Steps: 96, Epsilon: 0.817
Episode: 203, Total Reward: 299.5, Max Tile: 64, Steps: 133, Epsilon: 0.816
Episode: 204, Total Reward: 248.8, Max Tile: 64, Steps: 109, Epsilon: 0.815
Episode: 205, Total Reward: 247.3, Max Tile: 64, Steps: 109, Epsilon: 0.815
Episode: 206, Total Reward: 102.8, Max Tile: 32, Steps: 50, Epsilon: 0.814
Episode: 207, Total Reward: 254.8, Max Tile: 128, Steps: 105, Epsilon: 0.813
Episode: 208, Total Reward: 217.0, Max Tile: 64, Steps: 93, Epsilon: 0.812
Episode: 209, Total Reward: 369.1, Max Tile: 128, Steps: 152, Epsilon: 0.811
Episode: 210, Total Reward: 639.6, Max Tile: 256, Steps: 251, Epsilon: 0.810
Episode: 211, Total Reward: 272.4, Max Tile: 64, Steps: 115, Epsilon: 0.810
Episode: 212, Total Reward: 512.0, Max Tile: 256, Steps: 207, Epsilon: 0.809
Episode: 213, Total Reward: 319.6, Max Tile: 128, Steps: 136, Epsilon: 0.808
Episode: 214, Total Reward: 159.9, Max Tile: 32, Steps: 80, Epsilon: 0.807
Episode: 215, Total Reward: 239.3, Max Tile: 64, Steps: 106, Epsilon: 0.806
Episode: 216, Total Reward: 499.7, Max Tile: 256, Steps: 202, Epsilon: 0.806
Episode: 217, Total Reward: 267.7, Max Tile: 64, Steps: 113, Epsilon: 0.805
Episode: 218, Total Reward: 352.6, Max Tile: 128, Steps: 150, Epsilon: 0.804
Episode: 219, Total Reward: 299.1, Max Tile: 128, Steps: 129, Epsilon: 0.803
Episode: 220, Total Reward: 162.1, Max Tile: 64, Steps: 73, Epsilon: 0.802
Episode: 221, Total Reward: 276.5, Max Tile: 64, Steps: 119, Epsilon: 0.802
Episode: 222, Total Reward: 200.9, Max Tile: 64, Steps: 88, Epsilon: 0.801
Episode: 223, Total Reward: 342.9, Max Tile: 128, Steps: 140, Epsilon: 0.800
Episode: 224, Total Reward: 140.3, Max Tile: 32, Steps: 66, Epsilon: 0.799
Episode: 225, Total Reward: 262.8, Max Tile: 128, Steps: 105, Epsilon: 0.798
Episode: 226, Total Reward: 376.6, Max Tile: 128, Steps: 157, Epsilon: 0.798
Episode: 227, Total Reward: 275.0, Max Tile: 128, Steps: 115, Epsilon: 0.797
Episode: 228, Total Reward: 215.0, Max Tile: 64, Steps: 94, Epsilon: 0.796
Episode: 229, Total Reward: 259.1, Max Tile: 128, Steps: 105, Epsilon: 0.795
Episode: 230, Total Reward: 208.5, Max Tile: 64, Steps: 93, Epsilon: 0.794
Episode: 231, Total Reward: 193.9, Max Tile: 64, Steps: 86, Epsilon: 0.794
Episode: 232, Total Reward: 144.8, Max Tile: 32, Steps: 67, Epsilon: 0.793
Episode: 233, Total Reward: 205.9, Max Tile: 64, Steps: 95, Epsilon: 0.792
Episode: 234, Total Reward: 363.2, Max Tile: 128, Steps: 147, Epsilon: 0.791
Episode: 235, Total Reward: 205.5, Max Tile: 64, Steps: 90, Epsilon: 0.790
Episode: 236, Total Reward: 263.4, Max Tile: 64, Steps: 112, Epsilon: 0.790
Episode: 237, Total Reward: 253.5, Max Tile: 128, Steps: 108, Epsilon: 0.789
Episode: 238, Total Reward: 369.5, Max Tile: 128, Steps: 150, Epsilon: 0.788
Episode: 239, Total Reward: 276.0, Max Tile: 128, Steps: 114, Epsilon: 0.787
Episode: 240, Total Reward: 316.2, Max Tile: 128, Steps: 130, Epsilon: 0.787
Episode: 241, Total Reward: 259.2, Max Tile: 64, Steps: 108, Epsilon: 0.786
Episode: 242, Total Reward: 333.7, Max Tile: 128, Steps: 135, Epsilon: 0.785
Episode: 243, Total Reward: 311.7, Max Tile: 128, Steps: 130, Epsilon: 0.784
Episode: 244, Total Reward: 190.9, Max Tile: 64, Steps: 95, Epsilon: 0.783
Episode: 245, Total Reward: 244.1, Max Tile: 128, Steps: 102, Epsilon: 0.783
Episode: 246, Total Reward: 319.5, Max Tile: 128, Steps: 131, Epsilon: 0.782
Episode: 247, Total Reward: 287.1, Max Tile: 128, Steps: 121, Epsilon: 0.781
Episode: 248, Total Reward: 183.0, Max Tile: 64, Steps: 84, Epsilon: 0.780
Episode: 249, Total Reward: 159.0, Max Tile: 64, Steps: 72, Epsilon: 0.779
Episode: 250, Total Reward: 540.5, Max Tile: 256, Steps: 218, Epsilon: 0.779
Episode: 251, Total Reward: 322.3, Max Tile: 128, Steps: 136, Epsilon: 0.778
Episode: 252, Total Reward: 339.6, Max Tile: 128, Steps: 144, Epsilon: 0.777
Episode: 253, Total Reward: 257.4, Max Tile: 64, Steps: 116, Epsilon: 0.776
Episode: 254, Total Reward: 290.7, Max Tile: 128, Steps: 118, Epsilon: 0.776
Episode: 255, Total Reward: 135.6, Max Tile: 32, Steps: 66, Epsilon: 0.775
Episode: 256, Total Reward: 366.3, Max Tile: 128, Steps: 154, Epsilon: 0.774
Episode: 257, Total Reward: 261.5, Max Tile: 64, Steps: 112, Epsilon: 0.773
Episode: 258, Total Reward: 295.4, Max Tile: 128, Steps: 120, Epsilon: 0.772
Episode: 259, Total Reward: 164.8, Max Tile: 64, Steps: 75, Epsilon: 0.772
Episode: 260, Total Reward: 324.6, Max Tile: 128, Steps: 137, Epsilon: 0.771
Episode: 261, Total Reward: 201.3, Max Tile: 64, Steps: 86, Epsilon: 0.770
Episode: 262, Total Reward: 316.6, Max Tile: 128, Steps: 134, Epsilon: 0.769
Episode: 263, Total Reward: 248.4, Max Tile: 128, Steps: 105, Epsilon: 0.769
Episode: 264, Total Reward: 250.2, Max Tile: 64, Steps: 102, Epsilon: 0.768
